word,bVoice_sym1,bVoice_sym2
dreams, dɹimz,
water,'wɔ ɾɚ,
decide, dɪ 'saɪd,
decided, dɪ 'saɪ ɾɪd,
decides, dɪ 'saɪdz,
deciding, dɪ 'saɪ ɾɪŋ,
store, stoɚ,
stores, stoɚz,
bet, bɛt,
bets, bɛts,
betting,'bɛ ɾɪŋ,
lunch, lʌnʧ,
lunches,'lʌn ʧɪz,
faced, feɪst,
facing,'feɪ sɪŋ,
anybody,'ɛ ni bə ɾi,
afraid, ʌ 'fɹeɪd,
buddies,'bʌ ɾiz,
buddy,'bʌ ɾi,
cute, kjut,
cuter,'kju ɾɚ,
cutest,'kju ɾɪst,
close, kloʊz,
closer,'kloʊ sɚ,
closest,'kloʊ səst,
bathroom,'bæθ ɹum,
bathrooms,'bɑ θɹumz,
minded,'maɪn dəd,
minding,'maɪn dɪŋ,
steal,'sti əl,
stealing,'sti lɪŋ,
steals, stilz,
stole, stoʊl,
stolen,'stoʊ lən,
full, fʊl,
fullest,'fʊ ləst,
companies,'kʌm pə niz,
company,'kʌm pə ni,
front, fɹʌnt,
ahead, ʌ 'hɛd,
moment,'moʊ mənt,
moments,'moʊ mənts,
case, keɪs,
cases,'keɪ səz,
dated,'deɪ ɾɪd,
dating,'deɪ ɾɪŋ,
though, ðoʊ,
bodies,'bɑ ɾiz,
body,'bɑ ɾi,
Mrs.,'mɪ sɪz,
pants, pænts,
bitch, bɪʧ,
bitches,'bɪ ʧɪz,
promise,'pɹɑ mɪs,
promised,'pɹɑ məst,
promises,'pɹɑ mə səz,
promising,'pɹɑ mə sɪŋ,
glad, glæd,
kiss, kɪs,
kissed, kɪst,
kisses,'kɪ səz,
kissing,'kɪ sɪŋ,
either, i ðɚ/'aɪ ðɚ,
fire,'faɪ jɚ,
fired,'faɪ ɚd,
firing,'faɪ ɹɪŋ,
grew, gɹu,
grow, gɹoʊ,
growing,'gɹoʊ wɪŋ,
grown, gɹoʊn,
grows, gɹoʊz,
build, bɪld,
building,'bɪl dɪŋ,
builds, bɪldz,
built, bɪlt,
table,'teɪ bəl,
tables,'teɪ bəlz,
ticket,'tɪ kɪt,
tickets,'tɪ kəts,
matter,'mæ ɾɚ,
mattered,'mæ ɾɚd,
matters,'mæ ɾɚz,
taught, tɔt,
teach, tiʧ,
teaches,'ti ʧɪz,
teaching,'ti ʧɪŋ,
cat, kæt,
cats, kæts,
sister,'sɪs tɚ / sɪs ɾɚ,
sisters,'sɪ stɚz,
girlfriend,'gɚl fɹɛnd,
girlfriends,'gɚl fɹɛnz,
hat, hæt,
hats, hæts,
touch, tʌʧ,
touched, tʌʧt,
touches,'tʌ ʧəz,
touching,'tʌ ʧɪŋ,
terrible,'tɛ ɹə bəl,
beer,'bi ɚ,
damn, dæm,
club, klʌb,
clubs, klʌbz,
amaze, ʌ 'ʌmeɪz,
amazed, ə 'meɪzd,
amazes, ə 'meɪ zɪz,
amazing, ʌ 'meɪ zɪŋ,
smell, smɛl,
smelled, smɛld,
smelling,'smɛ lɪŋ,
smells, smɛlz,
gift, gɪft,
gifts, gɪfs,
serious,'siɚ i əs,
plan, plæn,
planned, plænd,
planning,'plæ nɪŋ,
plans, plænz,
street, stɹit,
streets, stɹits,
team, tim,
teams, timz,
order,'oɚ dɚ,
ordered,'oɚ dɚd,
ordering,'oɚ dɚ ɪŋ,
orders,'oɚ dɚz,
cried, kɹaɪd,
cries, kɹaɪz,
cry, kɹaɪ,
crying,'kɹaɪ ɪŋ,
zero,'ziɚ ɹoʊ,
drop, dɹɑp,
dropped, dɹɑpt,
dropping,'dɹɑ pɪŋ,
drops, dɹɑps,
act, ækt,
acted,'æk tɪd,
acting,'æk tɪŋ,
acts, æks,
alone, ʌ 'loʊn,
seat, sit,
seats, sits,
eh, ɛ,
between, bə 'twin,
eight, eɪt,
twenty,'twɛn ti,
feet, fit,
foot, fʊt,
seven,'sɛ vɪn,
finish,'fɪ nɪʃ,
finished,'fɪ nɪʃt,
finishes,'fɪ nɪ ʃɪz,
finishing,'fɪ nɪ ʃɪŋ,
gentleman,'ʤɛn təl mɪn,
